year,class,female,femalespeers,malespeers,continue_or_grad,company_n,totpeople
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,0,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,0,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,0,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,34,1,A-1,35
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,0,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,0,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,0,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,0,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,1,0,0,38,1,A-2,39
78,2,0,5,22,0,A-2,28
78,1,0,0,36,1,A-3,37
78,1,0,0,36,1,A-3,37
78,1,0,0,36,0,A-3,37
78,1,0,0,36,1,A-3,37
78,1,0,0,36,1,A-3,37
78,1,0,0,36,1,A-3,37
78,1,0,0,36,1,A-3,37
